Date,ticker,Close,signal,nr_active_trades
2016-09-08,ANOD-B,58.74,1.0,2.0
2016-09-13,ANOD-B,55.49,-1.0,2.0
2016-09-15,BACTI-B,17.4,1.0,3.0
2016-09-19,BOTX,11.72,1.0,7.0
2016-09-20,EOS,7.7,-1.0,12.0
2016-09-27,CONF,35.91,1.0,12.0
2016-10-07,BOTX,11.33,-1.0,7.0
2016-10-10,KABE-B,190.93,1.0,12.0
2016-10-11,BOUL,36.49,-1.0,7.0
2016-10-11,CONF,34.84,-1.0,11.0
2016-10-13,AMAST,3.61,-1.0,1.0
2016-10-26,NOBINA,49.67,1.0,10.0
2016-10-27,GENO,2.75,1.0,9.0
2016-10-28,BACTI-B,16.1,-1.0,2.0
