Ticker symbol
LINKAB
KINV.B
PALS.B
IRIS
ITECH
QUART
OBAB
PLED
SONE
ATORX
MISE
PIEZO
REALFI
INTEG.B
POLY
TEONE
NITRO
IMPC
MAV
GCOR
AINO
ACTI
SFTR
FRAM.B
ELN
SPRINT
FERRO
RPLAN
ASAI
RTC
NENT.A
OSSD
PLUN
GREAT
KONT
NUE
BIOS
OV
AVT.B
ICO
UNIBAP
CHRO
XMR
SCOUT
SERT
SALT.B
INTU
ONCO
EXPRS2
TANGI
WIFOG
CLS.B
LIDDS
2CUREX
IZAFE.B
EFFP
GPX
PCAT
CFISH
SCIB
INDEX
IVISYS
WAYS
CI.B
SENZA
BIOWKS
FRISQ
IRRAS
HDW B
MANTEX
ERMA
CLEMO
AAP.B
BUSER
KAN
TERRNT.B
MINEST
VNV.SDB
NETM.B
EPIS.B
HNSA
BUBL.MTF
AZELIO
FRILL.B
BAYN
BIOVIC.B
ALZCUR
SEZI
AERO
PROMO
KDEV
RLS
ZAPLOX
NVP
GAPW.B
ENERS
OASM
TRIBO.B
XINT
INCOAX
TRAC.B
CLBIO
S2M
SES
URBIT
AXOLOT
CE
DEFL.B
FLUI
QLINEA
PAPI
ACE
PHLOG
ACARIX
ACCON
MYFC
DMYD.B
KLAR
AROC
SIMRIS.B
BRIG
VICO
CMOTEC.B
IMMNOV
SVOL.B
AXIC.A
KOPY
XSPRAY
SPEC
LIPI
KARE
IRLAB.A
TCT
IMMU
ANNX
STW
EOS
3KR
NICO
LLSW.B
GABA
INZILE
JDT
ALZ
HIFA.B
ISR
CYXO
ARCT
CALTX
COPP.B
A1M
ISOFOL
BOTX
CANTA
HEMC
SPIFFX
IBT.B



VEMF.SDB
INDU.A
ORES
HAV.B
NAXS
CRED.A
GROLF
ASAP
NIO
EWP
TALK
DDM
